year,HorSusFanSci,DraRomWar,ComMus,ActAdvWesCriThr,Doc,Ani,
1983,362276591,437763349,354108121,398005079,0,30100000,
1984,191645967,516866142,537920741,661930614,0,0,
1985,363560607,551897822,237351303,515196985,0,0,
1986,317709451,283583624,587095054,558455454,0,47483002,
1987,161984413,355640111,715190679,524348207,0,46594212,
1988,512096925,422758260,445525979,400802008,0,101371901,
1989,282351828,406876076,879544686,784910401,0,84355863,
1990,290454637,530804782,621066229,1052970585,0,0,
1991,399387164,341932176,546967854,799581212,0,206693648,
1992,82522790,696857854,628226897,901086971,0,217350219,
1993,486030688,456889143,637142786,880638275,0,0,
1994,317505592,202354804,1027648444,849731995,0,312855561,
1995,169268321,389747537,356826337,1207794994,0,333376006,
1996,501243819,351109871,1013695863,865331281,0,163257237,
1997,1207798923,1014819663,262097412,826707133,0,99112101,
1998,421790789,667777894,757748810,617741490,87178599,576084545,
1999,1229096269,622949558,472080885,959905400,0,502688660,
2000,495295829,588212440,640169759,1503946525,0,333885314,
2001,1088645966,662588319,462826124,1359118344,0,523538261,
2002,1583556111,485412527,814140537,1301472875,0,322181743,
2003,516341273,461947228,1148003486,1685076997,0,339714978,
2004,739076058,694285211,488758377,1388140247,119194771,1026304605,
2005,1283314889,299014957,838088358,1253999031,0,457182198,
2006,173696328,370984926,726681506,1848532443,0,877538519,
2007,867643941,148768917,1008084968,1968549868,0,838931889,
2008,689846944,293967186,648264375,1967231522,0,887836723,
2009,2479508652,540458225,643273293,969914998,0,950655533,
2010,1356141089,550543349,427669478,1162353470,0,1472074672,
2011,1581462736,169708112,924919794,1204840927,0,773059379,
2012,900826243,318232101,499718215,2768711844,0,1166762969,
