year,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Fantasy,Horror,Musical,Romance,Sci-Fi,Thriller,War,Western,
1983,941172700,71885700,77973300,813122700,0,0,769979870,0,207865100,99020500,240710200,737116300,0,0,0,
1984,731995500,734159800,0,1382216000,0,0,1075926500,86240600,0,0,169566100,374018200,116920100,0,0,
1985,676902600,310151000,0,545573800,0,0,1051890600,0,0,0,192268800,753424900,93072600,0,95186000,
1986,841630300,377012100,102262300,1197535700,0,0,230022700,91019900,90170600,81582800,89015800,511868100,0,289157800,0,
1987,646511000,0,97240100,1462162300,118105800,0,200922600,0,226559400,0,431190800,111495000,323794900,96746500,0,
1988,271453000,217016700,203664300,893891200,216626700,0,470480600,772967200,244358000,0,386776900,0,0,0,90656500,
1989,816377800,671931100,167803600,1773299400,0,0,495889000,0,118123600,0,190791000,458265100,120388800,135095000,0,
1990,909603000,260938500,0,1200719000,129086500,0,260448300,109079000,221260300,0,764115800,230322000,284944900,0,525819500,
1991,267311500,473223300,403224100,1063121000,207774600,0,563191100,234093500,0,0,106275300,543065200,604291900,0,0,
1992,932949400,0,427929600,1235438100,0,0,729862800,0,162261700,0,492748400,0,640205900,148464500,199026500,
1993,729608300,259258600,0,1251377600,0,0,151194900,139758700,0,0,558540100,817868500,634253300,187620700,110578800,
1994,971731000,0,608934900,1996517000,305315200,0,283793600,0,331936400,0,102880100,286960300,179823000,0,198399800,
1995,1626835400,186673400,623549600,666467700,260529800,0,311734000,0,0,0,416925700,317524000,187363000,0,0,
1996,1345548200,0,299195700,1853854900,0,0,393973700,0,184026700,0,141243400,734483700,250992800,108980400,0,
1997,1216509300,0,176199300,464990900,113571300,0,240856500,314603100,424882200,0,1531761200,1398316700,135080600,0,0,
1998,906703000,162930000,989267500,1284600200,0,135266400,0,0,0,0,776905800,745517600,0,373296100,0,
1999,202807000,623911100,802684700,758303100,171690400,0,416571900,0,1003874000,0,571900900,967626700,352242500,0,182804400,
2000,1939014800,0,501634900,967616000,178945900,0,706916100,270011900,473064300,0,0,0,143328900,171572500,0,
2001,723538700,623200200,753810600,667249900,261729900,0,371300600,900723100,139156400,0,134953800,520704300,381377600,438818400,0,
2002,1329528300,215297800,452496200,895931800,146704100,0,163851200,834075600,181220700,230980100,516551800,1197498200,135387700,0,0,
2003,1567765800,564527900,459713800,1547845800,143616800,0,162761400,489843600,0,0,308735900,188458600,0,148611000,0,
2004,967858200,555864400,1347440300,635733200,296542100,156623100,745955000,327899400,452983800,0,158874400,190270000,0,0,0,
2005,695542800,538392800,581882500,1065623800,138638500,0,151321300,1209491800,110800900,0,228499800,298241500,114180100,0,103735100,
2006,915703100,829627000,1091465100,776233900,274455900,0,198721000,100866400,113007400,123969100,258402200,0,271006900,0,0,
2007,1400950300,771767900,994860900,1055701900,154309900,0,0,346331200,0,140987500,176446900,678308600,0,0,0,
2008,1480761300,754860700,1009017800,572943700,0,0,160608700,784004300,0,163802400,173482100,0,0,0,0,
2009,505238400,413103500,1031847000,700543200,0,0,271734700,647750600,0,0,179310200,2016110500,151580300,131661700,0,
2010,121436600,663705100,1516919800,436923800,122369200,0,452979100,913081300,0,0,113404100,475589500,110280100,0,176540000,
2011,794330800,438020500,791627800,944138200,0,0,174600200,384647200,0,0,0,938608400,0,0,0,
2012,2507640700,156718800,1193414200,364929500,0,0,323792300,605054300,0,150843200,0,307002800,0,0,166848500,
