genre,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Action,7,6,4,5,8,3,4,6,3,4,4,5,8,6,6,6,2,9,4,5,9,3,3,4,8,8,7,4,8,8
Adventure,4,5,6,2,0,1,6,1,3,1,2,2,4,1,1,1,3,1,4,2,4,4,4,4,5,7,5,2,6,4
Animation,1,0,0,1,1,2,1,0,2,1,0,1,2,2,1,5,3,3,2,2,1,4,3,5,4,5,5,6,5,6
Comedy,5,9,7,12,14,14,13,9,10,9,10,11,7,10,7,11,7,9,7,7,11,5,10,9,8,5,4,5,6,5
Crime,0,0,0,0,1,2,0,1,1,0,0,2,2,0,1,0,1,1,1,1,1,2,1,2,0,0,0,0,0,0
Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Drama,8,8,7,4,4,3,6,4,6,5,2,3,5,5,3,4,2,6,2,3,1,5,1,2,1,4,2,4,1,2
Fantasy,1,1,0,1,0,4,0,1,1,0,1,0,0,0,3,0,1,1,2,3,3,1,3,2,1,4,2,4,1,2
Horror,3,2,0,4,3,2,2,2,1,2,1,3,0,1,4,0,4,2,2,2,1,3,2,1,1,0,0,0,0,0
Musical,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1
Romance,1,2,1,2,3,4,2,3,1,4,3,1,3,1,3,4,3,0,1,2,2,1,1,2,1,2,2,2,1,1
Sci-Fi,2,3,4,4,1,0,3,1,2,0,2,2,2,2,5,3,2,0,2,4,2,1,2,0,2,0,4,2,4,2
Sports,0,1,0,0,0,0,1,1,0,2,1,0,0,0,0,1,0,1,0,0,1,2,1,1,1,0,1,1,0,0
Thriller,3,1,2,0,1,1,2,4,4,6,6,5,4,2,2,2,3,2,2,4,1,2,1,2,1,0,1,2,0,3
War,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,2,0,1,0,0,0,0,0,1,0,0,0
Western,0,0,1,0,0,1,0,2,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
