title,distributor,distributor_filter,genre,genre1_index,genre2_index,genre1,genre2,rating,running_time,production_year,release_date,month,day,production_budget,domestic_income,inflation_domestic_income,formatted_production_budget,formatted_domestic_income,formatted_inflation_domestic_income,director,link,image
Return of the Jedi,Fox,Fox,"Sci-Fi, Fantasy",11,7,Sci-Fi,Fantasy,PG,134,1983,19830525,5,25,32500000,252583617,660824400,"$32,500,000 ","$252,583,617 ","$660,824,400 ",Richard Marquand,http://www.imdb.com/title/tt0086190/,"http://ia.media-imdb.com/images/M/MV5BMjE5MTM3ODU5MV5BMl5BanBnXkFtZTcwOTYzNjk2OQ@@._V1_SY317_CR0,0,214,317_.jpg"
Terms of Endearment,Paramount Pictures,Paramount Pictures,Drama,6,,Drama,,PG,131,1983,19831123,11,23,8000000,108423489,268288600,"$8,000,000 ","$108,423,489 ","$268,288,600 ",James L. Brooks,http://www.imdb.com/title/tt0086425/,http://ia.media-imdb.com/images/M/MV5BMTk0ODM4NDk0MF5BMl5BanBnXkFtZTgwMTEzMDUxMDE@._V1_SX214_.jpg
Flashdance,Paramount Pictures,Paramount Pictures,"Romance, Drama",10,6,Romance,Drama,R,95,1983,19830415,4,15,0,92921203,240710200, $ ---------------     ,"$92,921,203 ","$240,710,200 ",Adrian Lyne,http://www.imdb.com/title/tt0085549/,"http://ia.media-imdb.com/images/M/MV5BMjA5NjE2OTUxOF5BMl5BanBnXkFtZTgwNDE1NDIxMDE@._V1_SY317_CR0,0,214,317_.jpg"
Trading Places,Paramount Pictures,Paramount Pictures,Comedy,3,,Comedy,,R,118,1983,19830610,6,10,0,90404800,234191500, $ ---------------     ,"$90,404,800 ","$234,191,500 ",John Landis,http://www.imdb.com/title/tt0086465/,"http://ia.media-imdb.com/images/M/MV5BMTc0ODg5NjYwNV5BMl5BanBnXkFtZTcwMDU5MzY0MQ@@._V1_SY317_CR3,0,214,317_.jpg"
WarGames,MGM,Other,"Drama, Thriller",6,12,Drama,Thriller,PG,114,1983,19830603,6,3,0,79567667,206118200, $ ---------------     ,"$79,567,667 ","$206,118,200 ",John Badham,http://www.imdb.com/title/tt0086567/,http://ia.media-imdb.com/images/M/MV5BMTMyMTE3OTk3NF5BMl5BanBnXkFtZTcwOTkwNDc3NA@@._V1_SX214_.jpg
Octopussy,MGM,Other,"Action, Adventure",0,1,Action,Adventure,PG,131,1983,19830610,6,10,0,67893619,175876800, $ ---------------     ,"$67,893,619 ","$175,876,800 ",John Glen,http://www.imdb.com/title/tt0086034/,http://ia.media-imdb.com/images/M/MV5BMjI2MDE0NjE1NV5BMl5BanBnXkFtZTcwNjYyMzY0NA@@._V1_SX214_.jpg
Sudden Impact,Warner Bros.,Warner Bros.,Action,0,,Action,,R,117,1983,19831209,12,9,0,67642693,169797000, $ ---------------     ,"$67,642,693 ","$169,797,000 ",Clint Eastwood,http://www.imdb.com/title/tt0086383/,"http://ia.media-imdb.com/images/M/MV5BMTk0Mjg4MjgwMl5BMl5BanBnXkFtZTcwODU1NjAyMQ@@._V1_SY317_CR11,0,214,317_.jpg"
Staying Alive,Paramount Pictures,Paramount Pictures,Drama,6,,Drama,,PG,93,1983,19830715,7,15,0,64892670,64892670, $ ---------------     ,"$64,892,670 ","$64,892,670 ",Sylvester Stallone,http://www.imdb.com/title/tt0086361/,"http://ia.media-imdb.com/images/M/MV5BMTU0ODkwNTUxNV5BMl5BanBnXkFtZTcwMjU1MDgxMQ@@._V1_SY317_CR5,0,214,317_.jpg"
Mr. Mom,Fox,Fox,Comedy,3,,Comedy,,PG,91,1983,19830722,7,22,0,64783827,167821000, $ ---------------     ,"$64,783,827 ","$167,821,000 ",Stan Dragoti,http://www.imdb.com/title/tt0085970/,"http://ia.media-imdb.com/images/M/MV5BMTUyMzg0MTkwNV5BMl5BanBnXkFtZTgwOTA2NzEyMDE@._V1_SY317_CR0,0,214,317_.jpg"
Risky Business,Warner Bros.,Warner Bros.,Comedy,3,,Comedy,,R,99,1983,19830805,8,5,6200000,63541777,164603500,"$6,200,000 ","$63,541,777 ","$164,603,500 ",Paul Brickman,http://www.imdb.com/title/tt0086200/,"http://ia.media-imdb.com/images/M/MV5BMTg1NDc4NDkzNF5BMl5BanBnXkFtZTYwMTQyNTg4._V1_SY317_CR10,0,214,317_.jpg"
National Lampoon's Vacation,Warner Bros.,Warner Bros.,"Comedy, Adventure",3,1,Comedy,Adventure,R,98,1983,19830729,7,29,0,61399552,159054100, $ ---------------     ,"$61,399,552 ","$159,054,100 ",Harold Ramis,http://www.imdb.com/title/tt0085995/,"http://ia.media-imdb.com/images/M/MV5BMTI1Mzk4MTYwNF5BMl5BanBnXkFtZTcwOTU0MTAwMQ@@._V1_SY317_CR3,0,214,317_.jpg"
Superman III,Warner Bros.,Warner Bros.,"Action, Adventure",0,1,Action,Adventure,PG,125,1983,19830617,6,17,0,59950623,155300700, $ ---------------     ,"$59,950,623 ","$155,300,700 ",Richard Lester,http://www.imdb.com/title/tt0086393/,http://ia.media-imdb.com/images/M/MV5BMTU2MDA2OTY2NV5BMl5BanBnXkFtZTcwMDA5MzMyMQ@@._V1_SX214_.jpg
The Big Chill,Columbia,Other,Drama,6,,Drama,,R,161,1983,19830930,9,30,0,56342711,143385200, $ ---------------     ,"$56,342,711 ","$143,385,200 ",Lawrence Kasdan,http://www.imdb.com/title/tt0085244/,http://ia.media-imdb.com/images/M/MV5BMTA4MjEyMTk5NzheQTJeQWpwZ15BbWU4MDY1NDA1MTAx._V1_SX214_.jpg
Never Say Never Again,Warner Bros.,Warner Bros.,Action,0,,Action,,PG,134,1983,19831007,10,7,0,55432841,143597500, $ ---------------     ,"$55,432,841 ","$143,597,500 ",Irvin Kershner,http://www.imdb.com/title/tt0086006/,http://ia.media-imdb.com/images/M/MV5BMTM1NjgzMDkwOF5BMl5BanBnXkFtZTcwMzM4NzI0NA@@._V1_SX214_.jpg
Jaws 3-D,Universal,Universal,"Horror, Thriller",8,12,Horror,Thriller,PG,99,1983,19830722,7,22,0,45517055,117910800, $ ---------------     ,"$45,517,055 ","$117,910,800 ",Joe Alves,http://www.imdb.com/title/tt0085750/,"http://ia.media-imdb.com/images/M/MV5BMjEzMDEzODU4M15BMl5BanBnXkFtZTYwMDQ5Njg5._V1_SY317_CR0,0,214,317_.jpg"
Scarface (1983),Universal,Universal,"Action, Drama",0,6,Action,Drama,R,170,1983,19831209,12,9,0,44668798,111336100, $ ---------------     ,"$44,668,798 ","$111,336,100 ",Brian De Palma,http://www.imdb.com/title/tt0086250/,http://ia.media-imdb.com/images/M/MV5BMjAzOTM4MzEwNl5BMl5BanBnXkFtZTgwMzU1OTc1MDE@._V1_SX214_.jpg
Blue Thunder,Columbia,Other,Action,0,,Action,,R,109,1983,19830513,5,13,0,42313354,109611700, $ ---------------     ,"$42,313,354 ","$109,611,700 ",John Badham,http://www.imdb.com/title/tt0085255/,http://ia.media-imdb.com/images/M/MV5BMjY5NTMwMzQ4NF5BMl5BanBnXkFtZTYwMDMxMjI5._V1_SX214_.jpg
Yentl,MGM,Other,Musical,9,,Musical,,PG,134,1983,19831118,11,18,0,40218899,99020500, $ ---------------     ,"$40,218,899 ","$99,020,500 ",Barbra Streisand,http://www.imdb.com/title/tt0086619/,http://ia.media-imdb.com/images/M/MV5BMTM0MzQ3NTU2MV5BMl5BanBnXkFtZTcwNjYxMzk3NA@@._V1_SX214_.jpg
